t_unix,status,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786331869.392,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331869.798,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,34,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331870.242,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331870.687,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331871.060,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,34,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331871.453,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331871.856,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331872.277,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331872.699,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331873.070,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331873.476,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331873.850,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331874.298,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331874.763,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331875.159,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.006,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331875.532,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331875.937,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,34,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331876.316,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,34,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.006,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,0.0,0.0,34
1786331876.751,zero-here 18/18 (limp),0.0,0.0,33,0.0,0.0,33,-0.09,0.0,34,0.0,0.0,33,0.0,0.0,34,0.0,0.0,37,0.0,0.0,33,-0.09,0.0,32,-0.09,0.0,33,0.0,0.0,30,0.0,0.0,34,0.0,0.0,36,0.0,0.0,30,-0.09,0.0,31,0.0,0.0,31,0.0,0.0,32,0.0,0.0,33,-0.09,0.0,34
